客戶,性別,年齡,國家,購買金額,註冊日期,會員等級
客戶_1,男,20,美國,,2020-01-01,金卡
客戶_2,女,21,台灣,103.0,2020-01-02,普通
客戶_3,男,22,日本,106.0,2020-01-03,白金
客戶_4,女,23,加拿大,109.0,2020-01-04,金卡
客戶_5,男,24,英國,112.0,2020-01-05,普通
客戶_6,女,25,美國,115.0,2020-01-06,白金
客戶_7,男,26,台灣,118.0,2020-01-07,金卡
客戶_8,女,27,日本,121.0,2020-01-08,普通
客戶_9,男,28,加拿大,124.0,2020-01-09,白金
客戶_10,女,29,英國,127.0,2020-01-10,金卡
客戶_11,男,30,美國,,2020-01-11,普通
客戶_12,女,31,台灣,133.0,2020-01-12,白金
客戶_13,男,32,日本,136.0,2020-01-13,金卡
客戶_14,女,33,加拿大,139.0,2020-01-14,普通
客戶_15,男,34,英國,142.0,2020-01-15,白金
客戶_16,女,35,美國,145.0,2020-01-16,金卡
客戶_17,男,36,台灣,148.0,2020-01-17,普通
客戶_18,女,37,日本,151.0,2020-01-18,白金
客戶_19,男,38,加拿大,154.0,2020-01-19,金卡
客戶_20,女,39,英國,157.0,2020-01-20,普通
客戶_21,男,40,美國,,2020-01-21,白金
客戶_22,女,41,台灣,163.0,2020-01-22,金卡
客戶_23,男,42,日本,166.0,2020-01-23,普通
客戶_24,女,43,加拿大,169.0,2020-01-24,白金
客戶_25,男,44,英國,172.0,2020-01-25,金卡
客戶_26,女,45,美國,175.0,2020-01-26,普通
客戶_27,男,46,台灣,178.0,2020-01-27,白金
客戶_28,女,47,日本,181.0,2020-01-28,金卡
客戶_29,男,48,加拿大,184.0,2020-01-29,普通
客戶_30,女,49,英國,187.0,2020-01-30,白金
客戶_31,男,50,美國,,2020-01-31,金卡
客戶_32,女,51,台灣,193.0,2020-02-01,普通
客戶_33,男,52,日本,196.0,2020-02-02,白金
客戶_34,女,53,加拿大,199.0,2020-02-03,金卡
客戶_35,男,54,英國,202.0,2020-02-04,普通
客戶_36,女,55,美國,205.0,2020-02-05,白金
客戶_37,男,56,台灣,208.0,2020-02-06,金卡
客戶_38,女,57,日本,211.0,2020-02-07,普通
客戶_39,男,58,加拿大,214.0,2020-02-08,白金
客戶_40,女,59,英國,217.0,2020-02-09,金卡
客戶_41,男,60,美國,,2020-02-10,普通
客戶_42,女,61,台灣,223.0,2020-02-11,白金
客戶_43,男,62,日本,226.0,2020-02-12,金卡
客戶_44,女,63,加拿大,229.0,2020-02-13,普通
客戶_45,男,64,英國,232.0,2020-02-14,白金
客戶_46,女,65,美國,235.0,2020-02-15,金卡
客戶_47,男,66,台灣,238.0,2020-02-16,普通
客戶_48,女,67,日本,241.0,2020-02-17,白金
客戶_49,男,68,加拿大,244.0,2020-02-18,金卡
客戶_50,女,69,英國,247.0,2020-02-19,普通
客戶_51,男,20,美國,,2020-02-20,白金
客戶_52,女,21,台灣,253.0,2020-02-21,金卡
客戶_53,男,22,日本,256.0,2020-02-22,普通
客戶_54,女,23,加拿大,259.0,2020-02-23,白金
客戶_55,男,24,英國,262.0,2020-02-24,金卡
客戶_56,女,25,美國,265.0,2020-02-25,普通
