,title,description,description_img,information
0,崗山之眼(休園中),崗山之眼園區以天空廊道為主角，清代詩人卓夢采以「岡山樹色」這首詩來形容本地縱翠疊碧、綠意如煙，千古幽情風采重現。,"[{'img_alt': '崗山之眼-步道', 'img_src': 'https://khh.travel/Image/18322/?r=1591088705541'}, {'img_alt': '崗山之眼-樓梯夜景', 'img_src': 'https://khh.travel/Image/20191/?r=1591088776911'}, {'img_alt': '崗山之眼-夕陽照', 'img_src': 'https://khh.travel/Image/18314/?r=1591088791002'}, {'img_alt': '費率表', 'img_src': 'https://khh.travel/Image/51983/?r=1719830910497'}, {'img_alt': '2024崗山之眼接駁', 'img_src': 'https://khh.travel/Image/51018/?r=1710909243543'}]","{'phone': '+886-7-6282100', 'address': '高雄市岡山區小崗山天空迴廊園區', 'googleMap': 'https://www.google.com/maps/place/22.8119669562088,120.334346294403?hl=zh-tw', 'openingHours': '最後營業日 114/2/9，整修起始日 114/2/10，重新開放日另行公布。--平日09:00–17:00（週一公休，連續假日除外），最後入場時間16:45假日09:00–18:00，最後入場時間17:45', 'ticketInformation': None}"
1,寶來花賞溫泉公園,寶來溫泉屬碳酸氫鹽泉，泡完後肌膚滑嫩，被稱為「美人湯」、「美肌之湯」，邊泡湯、邊賞花，體驗最自然的療癒之旅。,"[{'img_alt': '寶來花賞溫泉公園紀念石碑', 'img_src': 'https://khh.travel/Image/50139/?r=1706599461952'}, {'img_alt': '寶來花賞溫泉公園 (2)', 'img_src': 'https://khh.travel/Image/37634/?r=1642748980542'}, {'img_alt': '寶來花賞溫泉-橫幅圖', 'img_src': 'https://khh.travel/Image/18338/?r=1642748997644'}, {'img_alt': '寶來花賞溫泉公園粉紅花旗木下的大眾溫泉', 'img_src': 'https://khh.travel/Image/50136/?r=1706601511259'}, {'img_alt': '寶來花賞溫泉公園 (4)', 'img_src': 'https://khh.travel/Image/37632/?r=1642749008489'}, {'img_alt': '粉紅花旗木樹下的露營區2', 'img_src': 'https://khh.travel/Image/50135/?r=1706601259670'}, {'img_alt': '粉紅花旗木樹下的湖畔', 'img_src': 'https://khh.travel/Image/50134/?r=1706601292797'}]","{'phone': '+886-7-6883361', 'address': '高雄市六龜區寶來國中後方，比鄰浦來溪頭社戰道', 'googleMap': 'https://www.google.com/maps/place/23.10685,120.70274?hl=zh-tw', 'openingHours': '星期日：10:00 – 21:00星期一：10:00 – 21:00星期二：11:00 – 17:00星期三：10:00 – 21:00星期四：10:00 – 21:00星期五：10:00 – 21:00星期六：10:00 – 21:00', 'ticketInformation': None}"
2,金獅湖蝴蝶園,,"[{'img_alt': '3butterfly', 'img_src': 'https://khh.travel/Image/1687/?r=1590459066111'}]","{'phone': '+886-7-3475317', 'address': '高雄市三民區鼎金一巷25號', 'googleMap': 'https://www.google.com/maps/place/22.66615,120.3282?hl=zh-tw', 'openingHours': '09:00–17:00(週一公休)', 'ticketInformation': None}"
3,鳥松濕地,台灣第一座以人工濕地為主題的教育公園，以自然生態教學為主，觀光遊憩為輔的公園,"[{'img_alt': '鳥松濕地14', 'img_src': 'https://khh.travel/Image/1898/?r=1590508026043'}, {'img_alt': '鳥松濕地15', 'img_src': 'https://khh.travel/Image/1899/?r=1590508028251'}, {'img_alt': '鳥松濕地06', 'img_src': 'https://khh.travel/Image/1890/?r=1590508050102'}]","{'phone': '+886-7-2152525', 'address': '高雄市鳥松區大埤路32號(澄清湖正門口左前方)', 'googleMap': 'https://www.google.com/maps/place/22.65286,120.34981?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
4,駁二藝術特區,由港都舊倉庫蛻變為高雄文化創意基地，融合展覽、音樂、設計與鐵道文化，透過水岸輕軌串聯，打造充滿活力的藝術聚落。,"[{'img_alt': '從高雄港的舊倉庫群到藝術與創意的聚落，駁二見證了高雄城市的蛻變。', 'img_src': 'https://khh.travel/Image/55816/?r=1740542745090'}, {'img_alt': '駁二藝術特區的夜晚燈光璀璨，吸引遊客與市民一同享受這場視覺饗宴。', 'img_src': 'https://khh.travel/Image/55813/?r=1740542751682'}, {'img_alt': '隨著高雄水岸輕軌的開通，駁二藝術特區成為遊客與市民欣賞藝術、設計與創作的理想場所。', 'img_src': 'https://khh.travel/Image/55812/?r=1740542760199'}, {'img_alt': '從駁二塔遠眺，可以俯瞰大港橋的壯麗景色。', 'img_src': 'https://khh.travel/Image/55815/?r=1740542789827'}, {'img_alt': '這幅色彩繽紛的機械人主題壁畫，彰顯出駁二融合當代藝術與文化表現，呈現出高雄港區的活力與創新氛圍。', 'img_src': 'https://khh.travel/Image/55818/?r=1740542806774'}, {'img_alt': '蓬萊倉庫群，結合高雄百年鐵道歷史與當代藝術創意，成為駁二藝術特區的另一重要文化據點。', 'img_src': 'https://khh.travel/Image/55814/?r=1740542818962'}, {'img_alt': '蓬萊倉庫群於2012年正式納入駁二藝術特區，並與哈瑪星鐵道文化園區相互串聯，展現高雄百年鐵道歷史故事。', 'img_src': 'https://khh.travel/Image/55811/?r=1740542821706'}, {'img_alt': '大義倉庫群是駁二最晚納入的區域，匯聚了各式文化創意產業與特色小店。', 'img_src': 'https://khh.travel/Image/55819/?r=1740542834522'}, {'img_alt': '大義倉庫群可以探索各式手工藝品與獨特設計，圖片中為白色鯨魚公共藝術。', 'img_src': 'https://khh.travel/Image/55820/?r=1740542835514'}, {'img_alt': '駁二藝術特區的裝置藝術《手機人生》反映了現代人對手機的沉迷，成為駁二藝術特區中引人注目的公共藝術之一。', 'img_src': 'https://khh.travel/Image/55822/?r=1740542966873'}, {'img_alt': '駁二藝術特區的夜晚，隨著大港橋燈光秀的啟動，讓這片區域呈現出迷人的色彩與視覺效果。', 'img_src': 'https://khh.travel/Image/55823/?r=1740542965305'}, {'img_alt': '每年，駁二都會舉辦多項藝術盛事，吸引著來自世界各地的藝術家與設計師，為高雄帶來無窮的創意與活力。', 'img_src': 'https://khh.travel/Image/55824/?r=1740542968325'}]","{'phone': '+886-7-5214899', 'address': '高雄市鹽埕區大勇路1號', 'googleMap': 'https://www.google.com/maps/place/22.62001,120.2816?hl=zh-tw', 'openingHours': '星期日：10:00 – 20:00星期一：10:00 – 18:00星期二：10:00 – 18:00星期三：10:00 – 18:00星期四：10:00 – 18:00星期五：10:00 – 20:00星期六：10:00 – 20:00', 'ticketInformation': None}"
5,旗津海水浴場,全年度開放（若當日氣候不佳則不開放），總能吸引大量戲水人潮，有完善的救生設施及沖水設備與洗手間等公共設施，是高雄最知名的消暑勝地。,"[{'img_alt': '旗津海水浴場 (5)', 'img_src': 'https://khh.travel/Image/37540/?r=1642743925204'}, {'img_alt': '旗津海水浴場海岸', 'img_src': 'https://khh.travel/Image/20061/?r=1642743935693'}, {'img_alt': '旗津海水浴場 (3)', 'img_src': 'https://khh.travel/Image/37542/?r=1642744004614'}, {'img_alt': '風收 豐收', 'img_src': 'https://khh.travel/Image/37543/?r=1642744126951'}]","{'phone': '+886-7-5714876', 'address': '高雄市旗津區廟前路1號', 'googleMap': 'https://www.google.com/maps/place/22.61018,120.2669?hl=zh-tw', 'openingHours': '星期日：09:00 – 18:00星期一：09:30 – 18:00星期二：09:30 – 18:00星期三：09:30 – 18:00星期四：09:30 – 18:00星期五：09:30 – 18:00星期六：09:00 – 18:00', 'ticketInformation': None}"
6,棧貳庫,建於1914年，日治時期是存放砂糖、輸運出口的倉庫，1962年重建後扮演鐵路轉海運的重要角色，是全台最大活化老倉庫。,"[{'img_alt': '棧貳庫與高雄港', 'img_src': 'https://khh.travel/Image/37478/?r=1642732603398'}, {'img_alt': '高雄港碼頭倉庫及起重機-min', 'img_src': 'https://khh.travel/Image/1706/?r=1642731675042'}, {'img_alt': '棧貳庫空拍', 'img_src': 'https://khh.travel/Image/37470/?r=1642732654944'}, {'img_alt': '修建中的棧貳庫-1-min', 'img_src': 'https://khh.travel/Image/1703/?r=1642732828031'}, {'img_alt': '棧前屋廣場', 'img_src': 'https://khh.travel/Image/37474/?r=1642732688658'}, {'img_alt': '棧貳庫大門夜景', 'img_src': 'https://khh.travel/Image/37473/?r=1642732708239'}, {'img_alt': '棧貳庫', 'img_src': 'https://khh.travel/Image/37469/?r=1642732710017'}, {'img_alt': '大樹餐桌共食空間', 'img_src': 'https://khh.travel/Image/37466/?r=1642732718220'}, {'img_alt': '白色旋轉木馬', 'img_src': 'https://khh.travel/Image/37477/?r=1642732734064'}, {'img_alt': '純白色氣球飛輪', 'img_src': 'https://khh.travel/Image/37468/?r=1642732735198'}]","{'phone': '+886-7-5318568', 'address': '高雄市鼓山區蓬萊路17號(七賢三路底)', 'googleMap': 'https://www.google.com/maps/place/22.61899,120.2771?hl=zh-tw', 'openingHours': '平日：10:00–21:00假日：10:00–22:00', 'ticketInformation': None}"
7,澄清湖風景區,優美的九曲橋，倒映在波光粼粼的湖水上，古樸典雅的中式庭園建築結合青山綠水地景，讓人彷彿來到西湖。,"[{'img_alt': '環湖步道', 'img_src': 'https://khh.travel/Image/18662/?r=1586746744487'}, {'img_alt': '九曲橋為澄清湖的名勝之一', 'img_src': 'https://khh.travel/Image/18664/?r=1586746851955'}, {'img_alt': '中興塔為澄清湖最高的建築物', 'img_src': 'https://khh.travel/Image/18659/?r=1586746764682'}, {'img_alt': '從中興塔俯瞰高雄都市景觀', 'img_src': 'https://khh.travel/Image/18661/?r=1586746779453'}, {'img_alt': '澄清湖生態迷宮花園', 'img_src': 'https://khh.travel/Image/39342/?r=1651801936989'}, {'img_alt': '澄清湖迷宮花園彩色涵管迷宮', 'img_src': 'https://khh.travel/Image/39343/?r=1651802218984'}, {'img_alt': '澄清湖迷宮花園磨石子滑梯', 'img_src': 'https://khh.travel/Image/39345/?r=1651801947488'}]","{'phone': '+886-7-3700821', 'address': '高雄市鳥松區大埤路32號', 'googleMap': 'https://www.google.com/maps/place/22.66039,120.35377?hl=zh-tw', 'openingHours': '4月至9月：06:00–18:0010月至3月：06:00–17:30每週一休園', 'ticketInformation': None}"
8,蓮池潭風景區,蓮池潭為清代「鳳山八景」之一，潭畔旁的「龍虎塔」鎮守在此，是高雄市最具傳統宗教色彩的風景區之一。,"[{'img_alt': '蓮池潭水面風光', 'img_src': 'https://khh.travel/Image/19881/?r=1666332945724'}, {'img_alt': '龍虎塔美景', 'img_src': 'https://khh.travel/Image/19849/?r=1590385651030'}, {'img_alt': '蓮池潭龍虎塔夜景', 'img_src': 'https://khh.travel/Image/19894/?r=1666332930810'}, {'img_alt': '春秋閣', 'img_src': 'https://khh.travel/Image/42687/?r=1673064172033'}, {'img_alt': '蓮池潭風景區', 'img_src': 'https://khh.travel/Image/41281/?r=1666752636692'}, {'img_alt': '孔廟01', 'img_src': 'https://khh.travel/Image/20614/?r=1591091503252'}, {'img_alt': '蓮池潭兒童公園2', 'img_src': 'https://khh.travel/Image/43395/?r=1675147717620'}, {'img_alt': '蓮池潭風景區(含龍虎塔)08', 'img_src': 'https://khh.travel/Image/1567/?r=1664525933484'}, {'img_alt': '蓮池潭纜繩滑水活動3', 'img_src': 'https://khh.travel/Image/19897/?r=1590400847504'}, {'img_alt': '高雄蓮池潭泮咖啡側拍', 'img_src': 'https://khh.travel/Image/42749/?r=1673064195838'}, {'img_alt': '芒果咖秋3', 'img_src': 'https://khh.travel/Image/20615/?r=1591091831137'}, {'img_alt': '慈濟宮01', 'img_src': 'https://khh.travel/Image/20616/?r=1591092176285'}, {'img_alt': '中外餅鋪', 'img_src': 'https://khh.travel/Image/20611/?r=1591090482949'}, {'img_alt': '中外餅鋪DIY活動', 'img_src': 'https://khh.travel/Image/45992/?r=1689566341272'}]","{'phone': '07-5819286', 'address': '高雄市左營區蓮潭路', 'googleMap': 'https://www.google.com/maps/place/22.67873,120.2969?hl=zh-tw', 'openingHours': '星期日：24 小時營業星期一：24 小時營業星期二：24 小時營業星期三：24 小時營業星期四：24 小時營業星期五：24 小時營業星期六：24 小時營業', 'ticketInformation': None}"
9,壽山動物園,為南部最大的動物友善公立動物園，設有觀察廊道、導覽小火車等，適合攜家帶眷一起認識可愛的動物生態世界。,"[{'img_alt': '高市府工務局養護工程處妝點動物園大門口', 'img_src': 'https://khh.travel/Image/42176/?r=1673925627257'}, {'img_alt': '遊客可在空橋觀察迷你驢', 'img_src': 'https://khh.travel/Image/42187/?r=1674111830768'}, {'img_alt': '遊客可用不同視野觀察水豚', 'img_src': 'https://khh.travel/Image/42178/?r=1674100624437'}, {'img_alt': '新生狐獴小兄弟跟著狐獴哥哥觀察新環境#001', 'img_src': 'https://khh.travel/Image/42189/?r=1673933664543'}, {'img_alt': '台灣黑熊－動物明星波比', 'img_src': 'https://khh.travel/Image/43059/?r=1674116455366'}, {'img_alt': '非洲象－阿里', 'img_src': 'https://khh.travel/Image/43062/?r=1674116607850'}]","{'phone': '+886-7-5215187', 'address': '高雄市鼓山區萬壽路350號', 'googleMap': 'https://www.google.com/maps/place/22.63443,120.27519?hl=zh-tw', 'openingHours': '週二至週日 09:00~17:00(最後入園時間16:30)，週一及除夕休園，如週一遇國定假日則照常開園', 'ticketInformation': None}"
